id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
6200,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6201,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6202,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6203,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6204,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6205,Kepler-143 b,2640,6.39 Earths,13.882,2014
6206,Kepler-143 c,2640,11.3 Earths,13.882,2014
6207,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6208,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6209,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6210,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6211,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6212,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6213,Kepler-1446 b,496,0.477 Earths,12.595,2016
6214,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6215,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6216,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6217,Kepler-144 b,1256,2.33 Earths,12.195,2014
6218,Kepler-144 c,1256,2.39 Earths,12.195,2014
6219,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6220,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6221,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6222,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6223,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6224,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6225,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6226,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6227,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6228,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6229,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6230,Kepler-143 b,2640,6.39 Earths,13.882,2014
6231,Kepler-143 c,2640,11.3 Earths,13.882,2014
6232,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6233,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6234,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6235,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6236,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6237,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6238,Kepler-1446 b,496,0.477 Earths,12.595,2016
6239,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6240,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6241,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6242,Kepler-144 b,1256,2.33 Earths,12.195,2014
6243,Kepler-144 c,1256,2.39 Earths,12.195,2014
6244,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6245,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6246,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6247,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6248,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6249,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6250,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6251,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6252,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6253,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6254,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6255,Kepler-143 b,2640,6.39 Earths,13.882,2014
6256,Kepler-143 c,2640,11.3 Earths,13.882,2014
6257,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6258,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6259,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6260,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6261,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6262,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6263,Kepler-1446 b,496,0.477 Earths,12.595,2016
6264,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6265,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6266,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6267,Kepler-144 b,1256,2.33 Earths,12.195,2014
6268,Kepler-144 c,1256,2.39 Earths,12.195,2014
6269,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6270,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6271,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6272,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6273,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6274,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6275,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6276,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6277,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6278,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6279,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6280,Kepler-143 b,2640,6.39 Earths,13.882,2014
6281,Kepler-143 c,2640,11.3 Earths,13.882,2014
6282,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6283,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6284,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6285,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6286,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6287,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6288,Kepler-1446 b,496,0.477 Earths,12.595,2016
6289,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6290,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6291,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6292,Kepler-144 b,1256,2.33 Earths,12.195,2014
6293,Kepler-144 c,1256,2.39 Earths,12.195,2014
6294,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6295,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6296,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6297,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6298,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6299,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6300,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6301,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6302,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6303,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6304,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6305,Kepler-143 b,2640,6.39 Earths,13.882,2014
6306,Kepler-143 c,2640,11.3 Earths,13.882,2014
6307,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6308,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6309,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6310,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6311,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6312,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6313,Kepler-1446 b,496,0.477 Earths,12.595,2016
6314,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6315,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6316,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6317,Kepler-144 b,1256,2.33 Earths,12.195,2014
6318,Kepler-144 c,1256,2.39 Earths,12.195,2014
6319,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6320,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6321,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6322,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6323,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6324,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6325,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6326,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6327,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6328,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6329,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6330,Kepler-143 b,2640,6.39 Earths,13.882,2014
6331,Kepler-143 c,2640,11.3 Earths,13.882,2014
6332,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6333,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6334,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6335,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6336,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6337,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6338,Kepler-1446 b,496,0.477 Earths,12.595,2016
6339,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6340,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6341,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6342,Kepler-144 b,1256,2.33 Earths,12.195,2014
6343,Kepler-144 c,1256,2.39 Earths,12.195,2014
6344,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6345,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6346,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6347,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6348,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6349,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6350,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6351,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6352,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6353,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6354,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6355,Kepler-143 b,2640,6.39 Earths,13.882,2014
6356,Kepler-143 c,2640,11.3 Earths,13.882,2014
6357,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6358,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6359,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6360,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6361,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6362,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6363,Kepler-1446 b,496,0.477 Earths,12.595,2016
6364,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6365,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6366,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6367,Kepler-144 b,1256,2.33 Earths,12.195,2014
6368,Kepler-144 c,1256,2.39 Earths,12.195,2014
6369,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6370,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6371,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6372,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6373,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6374,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6375,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6376,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6377,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6378,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6379,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6380,Kepler-143 b,2640,6.39 Earths,13.882,2014
6381,Kepler-143 c,2640,11.3 Earths,13.882,2014
6382,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6383,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6384,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6385,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6386,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6387,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6388,Kepler-1446 b,496,0.477 Earths,12.595,2016
6389,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6390,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6391,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6392,Kepler-144 b,1256,2.33 Earths,12.195,2014
6393,Kepler-144 c,1256,2.39 Earths,12.195,2014
6394,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6395,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6396,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6397,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6398,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6399,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6400,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6401,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6402,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6403,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6404,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6405,Kepler-143 b,2640,6.39 Earths,13.882,2014
6406,Kepler-143 c,2640,11.3 Earths,13.882,2014
6407,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6408,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6409,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6410,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6411,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6412,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6413,Kepler-1446 b,496,0.477 Earths,12.595,2016
6414,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6415,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6416,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6417,Kepler-144 b,1256,2.33 Earths,12.195,2014
6418,Kepler-144 c,1256,2.39 Earths,12.195,2014
6419,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6420,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6421,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6422,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6423,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6424,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6425,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6426,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6427,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6428,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6429,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6430,Kepler-143 b,2640,6.39 Earths,13.882,2014
6431,Kepler-143 c,2640,11.3 Earths,13.882,2014
6432,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6433,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6434,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6435,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6436,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6437,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6438,Kepler-1446 b,496,0.477 Earths,12.595,2016
6439,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6440,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6441,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6442,Kepler-144 b,1256,2.33 Earths,12.195,2014
6443,Kepler-144 c,1256,2.39 Earths,12.195,2014
6444,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6445,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6446,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6447,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6448,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6449,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6450,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6451,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6452,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6453,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6454,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6455,Kepler-143 b,2640,6.39 Earths,13.882,2014
6456,Kepler-143 c,2640,11.3 Earths,13.882,2014
6457,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6458,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6459,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6460,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6461,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6462,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6463,Kepler-1446 b,496,0.477 Earths,12.595,2016
6464,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6465,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6466,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6467,Kepler-144 b,1256,2.33 Earths,12.195,2014
6468,Kepler-144 c,1256,2.39 Earths,12.195,2014
6469,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6470,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6471,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6472,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6473,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6474,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6475,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6476,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6477,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6478,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6479,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6480,Kepler-143 b,2640,6.39 Earths,13.882,2014
6481,Kepler-143 c,2640,11.3 Earths,13.882,2014
6482,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6483,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6484,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6485,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6486,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6487,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6488,Kepler-1446 b,496,0.477 Earths,12.595,2016
6489,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6490,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6491,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6492,Kepler-144 b,1256,2.33 Earths,12.195,2014
6493,Kepler-144 c,1256,2.39 Earths,12.195,2014
6494,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6495,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6496,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6497,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6498,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6499,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6500,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6501,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6502,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6503,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6504,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6505,Kepler-143 b,2640,6.39 Earths,13.882,2014
6506,Kepler-143 c,2640,11.3 Earths,13.882,2014
6507,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6508,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6509,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6510,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6511,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6512,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6513,Kepler-1446 b,496,0.477 Earths,12.595,2016
6514,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6515,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6516,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6517,Kepler-144 b,1256,2.33 Earths,12.195,2014
6518,Kepler-144 c,1256,2.39 Earths,12.195,2014
6519,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6520,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6521,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6522,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6523,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6524,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6525,Kepler-1435 b,2297,0.566 Earths,12.984,2016
6526,Kepler-1436 b,8255,2.27 Earths,15.119,2016
6527,Kepler-1437 b,6856,2.45 Earths,15.701,2016
6528,Kepler-1438 b,3765,0.779 Earths,14.983,2016
6529,Kepler-1439 b,735,2.73 Earths,17.0484,2016
6530,Kepler-143 b,2640,6.39 Earths,13.882,2014
6531,Kepler-143 c,2640,11.3 Earths,13.882,2014
6532,Kepler-1440 b,3638,2.13 Earths,14.24,2016
6533,Kepler-1441 b,3622,2.27 Earths,14.29,2016
6534,Kepler-1442 b,1986,14.7 Earths,12.114,2016
6535,Kepler-1443 b,1936,0.871 Earths,12.313,2016
6536,Kepler-1444 b,1043,5.39 Earths,12.363,2016
6537,Kepler-1445 b,1652,0.84 Earths,12.407,2016
6538,Kepler-1446 b,496,0.477 Earths,12.595,2016
6539,Kepler-1447 b,2904,8.75 Earths,14.747,2016
6540,Kepler-1448 b,2508,3.22 Earths,14.592,2016
6541,Kepler-1449 b,6545,3.46 Earths,15.142,2016
6542,Kepler-144 b,1256,2.33 Earths,12.195,2014
6543,Kepler-144 c,1256,2.39 Earths,12.195,2014
6544,Kepler-1450 b,1650,3.57 Earths,15.923,2016
6545,Kepler-1451 b,3454,11.2 Earths,15.313,2016
6546,Kepler-1452 b,3250,7.75 Earths,13.215,2016
6547,Kepler-1453 b,3901,7.61 Earths,15.695,2016
6548,Kepler-1454 b,2546,4.19 Earths,15.009,2016
6549,Kepler-1455 b,1167,5.31 Earths,16.06,2016
6550,Kepler-169 f,1326,7.18 Earths,14.424,2014
6551,Kepler-16 b,245,0.333 Jupiters,12.144,2011
6552,Kepler-1700 b,2341,8.76 Earths,13.764,2020
6553,Kepler-1701 b,1905,5.57 Earths,14.722,2020
6554,Kepler-1702 b,2796,3.2 Earths,16.231,2020
6555,Kepler-1704 b,2725,4.16 Jupiters,13.392,2013
6556,Kepler-1705 b,5328,4.47 Earths,15.8,2014
6557,Kepler-1705 c,5328,5.42 Earths,15.8,2021
6558,Kepler-1708 b,5437,4.6 Jupiters,15.823,2021
6559,Kepler-1709 b,894,9.93 Earths,11.642,2021
6560,Kepler-170 b,2409,0.26 Jupiters,14.344,2014
6561,Kepler-170 c,2409,8.55 Earths,14.344,2014
6562,Kepler-1710 b,996,10.3 Earths,12.695,2021
6563,Kepler-1711 b,1925,4.36 Earths,13.298,2021
6564,Kepler-1712 b,510,5.83 Earths,14.946,2021
6565,Kepler-1713 b,963,3.59 Earths,11.065,2021
6566,Kepler-1714 b,1336,10.7 Earths,11.041,2021
6567,Kepler-1715 b,1705,16 Earths,12.881,2021
6568,Kepler-1716 b,638,6.46 Earths,13.129,2021
6569,Kepler-1717 b,3291,9.21 Earths,13.323,2021
6570,Kepler-1718 b,1225,7.12 Earths,12.821,2021
6571,Kepler-1719 b,2953,14.8 Earths,13.478,2021
6572,Kepler-171 b,2818,6.08 Earths,15.101,2014
6573,Kepler-171 c,2818,7.08 Earths,15.101,2014
6574,Kepler-171 d,2818,4.23 Earths,15.101,2014
6575,Kepler-169 f,1326,7.18 Earths,14.424,2014
6576,Kepler-16 b,245,0.333 Jupiters,12.144,2011
6577,Kepler-1700 b,2341,8.76 Earths,13.764,2020
6578,Kepler-1701 b,1905,5.57 Earths,14.722,2020
6579,Kepler-1702 b,2796,3.2 Earths,16.231,2020
6580,Kepler-1704 b,2725,4.16 Jupiters,13.392,2013
6581,Kepler-1705 b,5328,4.47 Earths,15.8,2014
6582,Kepler-1705 c,5328,5.42 Earths,15.8,2021
6583,Kepler-1708 b,5437,4.6 Jupiters,15.823,2021
6584,Kepler-1709 b,894,9.93 Earths,11.642,2021
6585,Kepler-170 b,2409,0.26 Jupiters,14.344,2014
6586,Kepler-170 c,2409,8.55 Earths,14.344,2014
6587,Kepler-1710 b,996,10.3 Earths,12.695,2021
6588,Kepler-1711 b,1925,4.36 Earths,13.298,2021
6589,Kepler-1712 b,510,5.83 Earths,14.946,2021
6590,Kepler-1713 b,963,3.59 Earths,11.065,2021
6591,Kepler-1714 b,1336,10.7 Earths,11.041,2021
6592,Kepler-1715 b,1705,16 Earths,12.881,2021
6593,Kepler-1716 b,638,6.46 Earths,13.129,2021
6594,Kepler-1717 b,3291,9.21 Earths,13.323,2021
6595,Kepler-1718 b,1225,7.12 Earths,12.821,2021
6596,Kepler-1719 b,2953,14.8 Earths,13.478,2021
6597,Kepler-171 b,2818,6.08 Earths,15.101,2014
6598,Kepler-171 c,2818,7.08 Earths,15.101,2014
6599,Kepler-171 d,2818,4.23 Earths,15.101,2014
6600,Kepler-169 f,1326,7.18 Earths,14.424,2014
6601,Kepler-16 b,245,0.333 Jupiters,12.144,2011
6602,Kepler-1700 b,2341,8.76 Earths,13.764,2020
6603,Kepler-1701 b,1905,5.57 Earths,14.722,2020
6604,Kepler-1702 b,2796,3.2 Earths,16.231,2020
6605,Kepler-1704 b,2725,4.16 Jupiters,13.392,2013
6606,Kepler-1705 b,5328,4.47 Earths,15.8,2014
6607,Kepler-1705 c,5328,5.42 Earths,15.8,2021
6608,Kepler-1708 b,5437,4.6 Jupiters,15.823,2021
6609,Kepler-1709 b,894,9.93 Earths,11.642,2021
6610,Kepler-170 b,2409,0.26 Jupiters,14.344,2014
6611,Kepler-170 c,2409,8.55 Earths,14.344,2014
6612,Kepler-1710 b,996,10.3 Earths,12.695,2021
6613,Kepler-1711 b,1925,4.36 Earths,13.298,2021
6614,Kepler-1712 b,510,5.83 Earths,14.946,2021
6615,Kepler-1713 b,963,3.59 Earths,11.065,2021
6616,Kepler-1714 b,1336,10.7 Earths,11.041,2021
6617,Kepler-1715 b,1705,16 Earths,12.881,2021
6618,Kepler-1716 b,638,6.46 Earths,13.129,2021
6619,Kepler-1717 b,3291,9.21 Earths,13.323,2021
6620,Kepler-1718 b,1225,7.12 Earths,12.821,2021
6621,Kepler-1719 b,2953,14.8 Earths,13.478,2021
6622,Kepler-171 b,2818,6.08 Earths,15.101,2014
6623,Kepler-171 c,2818,7.08 Earths,15.101,2014
6624,Kepler-171 d,2818,4.23 Earths,15.101,2014
6625,Kepler-169 f,1326,7.18 Earths,14.424,2014
6626,Kepler-16 b,245,0.333 Jupiters,12.144,2011
6627,Kepler-1700 b,2341,8.76 Earths,13.764,2020
6628,Kepler-1701 b,1905,5.57 Earths,14.722,2020
6629,Kepler-1702 b,2796,3.2 Earths,16.231,2020
6630,Kepler-1704 b,2725,4.16 Jupiters,13.392,2013
6631,Kepler-1705 b,5328,4.47 Earths,15.8,2014
6632,Kepler-1705 c,5328,5.42 Earths,15.8,2021
6633,Kepler-1708 b,5437,4.6 Jupiters,15.823,2021
6634,Kepler-1709 b,894,9.93 Earths,11.642,2021
6635,Kepler-170 b,2409,0.26 Jupiters,14.344,2014
6636,Kepler-170 c,2409,8.55 Earths,14.344,2014
6637,Kepler-1710 b,996,10.3 Earths,12.695,2021
6638,Kepler-1711 b,1925,4.36 Earths,13.298,2021
6639,Kepler-1712 b,510,5.83 Earths,14.946,2021
6640,Kepler-1713 b,963,3.59 Earths,11.065,2021
6641,Kepler-1714 b,1336,10.7 Earths,11.041,2021
6642,Kepler-1715 b,1705,16 Earths,12.881,2021
6643,Kepler-1716 b,638,6.46 Earths,13.129,2021
6644,Kepler-1717 b,3291,9.21 Earths,13.323,2021
6645,Kepler-1718 b,1225,7.12 Earths,12.821,2021
6646,Kepler-1719 b,2953,14.8 Earths,13.478,2021
6647,Kepler-171 b,2818,6.08 Earths,15.101,2014
6648,Kepler-171 c,2818,7.08 Earths,15.101,2014
6649,Kepler-171 d,2818,4.23 Earths,15.101,2014
6650,Kepler-169 f,1326,7.18 Earths,14.424,2014
6651,Kepler-16 b,245,0.333 Jupiters,12.144,2011
6652,Kepler-1700 b,2341,8.76 Earths,13.764,2020
